asset,indicator,params,rendement_net_pct,profit_factor,max_drawdown_pct,win_rate_pct,nb_trades
SOL/USD,MACD,"{'fast': 16, 'slow': 26, 'signal': 12}",-87.23,0.39,-96.29,38.33,60
SOL/USD,MACD,"{'fast': 16, 'slow': 30, 'signal': 5}",-65.21,0.73,-89.54,47.06,68
SOL/USD,MACD,"{'fast': 16, 'slow': 30, 'signal': 9}",-70.48,0.64,-93.24,42.86,56
SOL/USD,MACD,"{'fast': 16, 'slow': 30, 'signal': 12}",-77.16,0.67,-93.13,38.18,55
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 20, 'upper': 65}",-53.82,0.77,-85.06,46.81,47
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 20, 'upper': 70}",-61.54,0.75,-85.41,51.16,43
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 20, 'upper': 75}",-70.78,0.64,-84.73,55.0,40
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 20, 'upper': 80}",-77.65,0.6,-84.77,57.14,35
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 25, 'upper': 65}",-69.33,0.7,-90.67,42.31,52
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 25, 'upper': 70}",-77.84,0.65,-90.4,51.06,47
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 25, 'upper': 75}",-87.01,0.46,-92.25,53.49,43
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 25, 'upper': 80}",-89.22,0.44,-91.97,56.76,37
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 30, 'upper': 65}",-52.43,0.78,-87.91,45.76,59
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 30, 'upper': 70}",-78.16,0.66,-87.25,50.0,52
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 30, 'upper': 75}",-86.83,0.48,-91.78,53.19,47
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 30, 'upper': 80}",-89.23,0.45,-93.2,57.5,40
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 35, 'upper': 65}",-17.67,0.95,-83.61,52.24,67
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 35, 'upper': 70}",-54.44,0.82,-85.91,55.17,58
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 35, 'upper': 75}",-75.17,0.62,-90.35,56.86,51
SOL/USD,RSI_Reversal,"{'window': 7, 'lower': 35, 'upper': 80}",-77.33,0.6,-90.92,59.09,44
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 20, 'upper': 65}",-79.59,0.35,-86.44,50.0,24
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 20, 'upper': 70}",-66.68,0.43,-83.32,56.52,23
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 20, 'upper': 75}",-36.85,0.76,-83.26,60.87,23
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 20, 'upper': 80}",-63.43,0.44,-93.37,57.89,19
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 25, 'upper': 65}",-71.63,0.69,-86.21,43.75,32
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 25, 'upper': 70}",-42.48,0.85,-82.31,45.16,31
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 25, 'upper': 75}",-10.52,0.97,-83.07,53.33,30
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 25, 'upper': 80}",-76.86,0.48,-94.74,54.55,22
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 30, 'upper': 65}",-61.99,0.75,-88.34,45.0,40
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 30, 'upper': 70}",-14.72,0.96,-84.17,44.74,38
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 30, 'upper': 75}",26.49,1.06,-85.38,51.43,35
SOL/USD,RSI_Reversal,"{'window': 10, 'lower': 30, 'upper': 80}",-79.63,0.38,-95.27,54.17,24
